Velocity_m_s,Time_h,Time_s,Concentration_mg_L,Intake_Distance_km
0.5,0.0,0.0,0.0,30.0
0.5,1.0,3600.0,2.2205010979801306e-169,30.0
0.5,2.0,7200.0,1.1798575816193534e-99,30.0
0.5,3.0,10800.0,8.137600095753238e-66,30.0
0.5,4.0,14400.0,1.0272597308738006e-45,30.0
0.5,5.0,18000.0,1.3298414544736453e-32,30.0
0.5,6.0,21600.0,1.4555105862986418e-23,30.0
0.5,7.0,25200.0,4.176820511480715e-17,30.0
0.5,8.0,28800.0,2.2010112638584847e-12,30.0
0.5,9.0,32400.0,6.95001051314428e-09,30.0
0.5,10.0,36000.0,2.805816194872038e-06,30.0
0.5,11.0,39600.0,0.00024072074996316298,30.0
0.5,12.0,43200.0,0.006254583896260918,30.0
0.5,13.0,46800.0,0.06351482460116846,30.0
0.5,14.0,50400.0,0.304337519329686,30.0
0.5,15.0,54000.0,0.793116875396471,30.0
0.5,16.0,57600.0,1.2536190367374849,30.0
0.5,17.0,61200.0,1.3083500233800098,30.0
0.5,18.0,64800.0,0.9641211003180379,30.0
0.5,19.0,68400.0,0.5292441287149677,30.0
0.5,20.0,72000.0,0.22599200625880597,30.0
0.5,21.0,75600.0,0.07776392375071996,30.0
0.5,22.0,79200.0,0.022199259309307814,30.0
0.5,23.0,82800.0,0.0053859088316674806,30.0
0.5,24.0,86400.0,0.001133218596784008,30.0
0.8,0.0,0.0,0.0,30.0
0.8,1.0,3600.0,1.03429759913681e-139,30.0
0.8,2.0,7200.0,5.183151190835629e-74,30.0
0.8,3.0,10800.0,1.45812625808897e-43,30.0
0.8,4.0,14400.0,1.8109168911839757e-26,30.0
0.8,5.0,18000.0,4.645459965556197e-16,30.0
0.8,6.0,21600.0,1.745271346320204e-09,30.0
0.8,7.0,25200.0,2.637033710011647e-05,30.0
0.8,8.0,28800.0,0.01010097410951517,30.0
0.8,9.0,32400.0,0.29249153957553703,30.0
0.8,10.0,36000.0,1.2786770433852828,30.0
0.8,11.0,39600.0,1.3441754673386437,30.0
0.8,12.0,43200.0,0.47139168009280485,30.0
0.8,13.0,46800.0,0.06990135447349713,30.0
0.8,14.0,50400.0,0.005222664252898564,30.0
0.8,15.0,54000.0,0.00022433162430407526,30.0
0.8,16.0,57600.0,6.127439178472399e-06,30.0
0.8,17.0,61200.0,1.1508789198042704e-07,30.0
0.8,18.0,64800.0,1.5806875586912747e-09,30.0
0.8,19.0,68400.0,1.6671605881745858e-11,30.0
0.8,20.0,72000.0,1.4045080176582437e-13,30.0
0.8,21.0,75600.0,9.758678871023644e-16,30.0
0.8,22.0,79200.0,5.741056888799872e-18,30.0
0.8,23.0,82800.0,2.922660695713995e-20,30.0
0.8,24.0,86400.0,1.3111146496085964e-22,30.0
1.1,0.0,0.0,0.0,30.0
1.1,1.0,3600.0,3.2401533826678874e-117,30.0
1.1,2.0,7200.0,2.0190289137400764e-55,30.0
1.1,3.0,10800.0,2.207163926169797e-28,30.0
1.1,4.0,14400.0,2.4331891881975525e-14,30.0
1.1,5.0,18000.0,1.0624617930495266e-06,30.0
1.1,6.0,21600.0,0.011457389506903849,30.0
1.1,7.0,25200.0,0.7342023481570983,30.0
1.1,8.0,28800.0,1.5040436192956301,30.0
1.1,9.0,32400.0,0.2635987991729438,30.0
1.1,10.0,36000.0,0.007560760274680114,30.0
1.1,11.0,39600.0,5.572208245053904e-05,30.0
1.1,12.0,43200.0,1.4529421240459442e-07,30.0
1.1,13.0,46800.0,1.6876857294586767e-10,30.0
1.1,14.0,50400.0,1.0338851198663753e-13,30.0
1.1,15.0,54000.0,3.7884129162492404e-17,30.0
1.1,16.0,57600.0,9.134904293367938e-21,30.0
1.1,17.0,61200.0,1.5600999654451228e-24,30.0
1.1,18.0,64800.0,1.9988012326210775e-28,30.0
1.1,19.0,68400.0,2.0106274479684568e-32,30.0
1.1,20.0,72000.0,1.6469953739381312e-36,30.0
1.1,21.0,75600.0,1.131622497263705e-40,30.0
1.1,22.0,79200.0,6.681567162583654e-45,30.0
1.1,23.0,82800.0,3.4587002843336714e-49,30.0
1.1,24.0,86400.0,1.5960443412633916e-53,30.0
1.4000000000000001,0.0,0.0,0.0,30.0
1.4000000000000001,1.0,3600.0,2.26990538678245e-99,30.0
1.4000000000000001,2.0,7200.0,1.8838944049408338e-41,30.0
1.4000000000000001,3.0,10800.0,7.702929195816388e-18,30.0
1.4000000000000001,4.0,14400.0,7.075904171609341e-07,30.0
1.4000000000000001,5.0,18000.0,0.05080273372416986,30.0
1.4000000000000001,6.0,21600.0,1.5966413744914085,30.0
1.4000000000000001,7.0,25200.0,0.38266163999539604,30.0
1.4000000000000001,8.0,28800.0,0.003026809535315357,30.0
1.4000000000000001,9.0,32400.0,2.0928977810458306e-06,30.0
1.4000000000000001,10.0,36000.0,2.476878989959843e-10,30.0
1.4000000000000001,11.0,39600.0,7.943246527632346e-15,30.0
1.4000000000000001,12.0,43200.0,9.487001364210893e-20,30.0
1.4000000000000001,13.0,46800.0,5.28348451880466e-25,30.0
1.4000000000000001,14.0,50400.0,1.614206890706751e-30,30.0
1.4000000000000001,15.0,54000.0,3.050611242321481e-36,30.0
1.4000000000000001,16.0,57600.0,3.903704744141428e-42,30.0
1.4000000000000001,17.0,61200.0,3.625203355294331e-48,30.0
1.4000000000000001,18.0,64800.0,2.5786409973183706e-54,30.0
1.4000000000000001,19.0,68400.0,1.4660840608207678e-60,30.0
1.4000000000000001,20.0,72000.0,6.893416438489761e-67,30.0
1.4000000000000001,21.0,75600.0,2.7554108763867794e-73,30.0
1.4000000000000001,22.0,79200.0,9.576235832888305e-80,30.0
1.4000000000000001,23.0,82800.0,2.948000543511696e-86,30.0
1.4000000000000001,24.0,86400.0,8.163880369020134e-93,30.0
1.7000000000000002,0.0,0.0,0.0,30.0
1.7000000000000002,1.0,3600.0,8.559995668792143e-85,30.0
1.7000000000000002,2.0,7200.0,9.60851157211457e-31,30.0
1.7000000000000002,3.0,10800.0,1.4367354745360152e-10,30.0
1.7000000000000002,4.0,14400.0,0.011140966838037574,30.0
1.7000000000000002,5.0,18000.0,1.6197878290741539,30.0
1.7000000000000002,6.0,21600.0,0.1555215610143929,30.0
1.7000000000000002,7.0,25200.0,9.904824566054969e-05,30.0
1.7000000000000002,8.0,28800.0,1.9771508043670308e-09,30.0
1.7000000000000002,9.0,32400.0,3.59507399369819e-15,30.0
1.7000000000000002,10.0,36000.0,1.1909476467914701e-21,30.0
1.7000000000000002,11.0,39600.0,1.1346586476966107e-28,30.0
1.7000000000000002,12.0,43200.0,4.2372587995414414e-36,30.0
1.7000000000000002,13.0,46800.0,7.699837785331381e-44,30.0
1.7000000000000002,14.0,50400.0,7.951708669810389e-52,30.0
1.7000000000000002,15.0,54000.0,5.23065135907945e-60,30.0
1.7000000000000002,16.0,57600.0,2.3874621987688e-68,30.0
1.7000000000000002,17.0,61200.0,8.072551074685634e-77,30.0
1.7000000000000002,18.0,64800.0,2.1273896216687036e-85,30.0
1.7000000000000002,19.0,68400.0,4.5481891218951087e-94,30.0
1.7000000000000002,20.0,72000.0,8.144648923029433e-103,30.0
1.7000000000000002,21.0,75600.0,1.2536203795975687e-111,30.0
1.7000000000000002,22.0,79200.0,1.6938547777675407e-120,30.0
1.7000000000000002,23.0,82800.0,2.044319452369105e-129,30.0
1.7000000000000002,24.0,86400.0,2.2359222097635335e-138,30.0
2.0,0.0,0.0,0.0,30.0
2.0,1.0,3600.0,1.208133844951186e-72,30.0
2.0,2.0,7200.0,1.837988431235493e-22,30.0
2.0,3.0,10800.0,1.0081572556035858e-05,30.0
2.0,4.0,14400.0,0.8081755910538733,30.0
2.0,5.0,18000.0,0.33982701590768116,30.0
2.0,6.0,21600.0,6.787193171009859e-05,30.0
2.0,7.0,25200.0,7.399968904813691e-11,30.0
2.0,8.0,28800.0,2.6376452472909422e-18,30.0
2.0,9.0,32400.0,9.262720594963283e-27,30.0
2.0,10.0,36000.0,6.36582138172311e-36,30.0
2.0,11.0,39600.0,1.334476761851382e-45,30.0
2.0,12.0,43200.0,1.1496858648021782e-55,30.0
2.0,13.0,46800.0,5.007001642702364e-66,30.0
2.0,14.0,50400.0,1.2781429577824434e-76,30.0
2.0,15.0,54000.0,2.1314787342095696e-87,30.0
2.0,16.0,57600.0,2.5185193952857055e-98,30.0
2.0,17.0,61200.0,2.2432469945200233e-109,30.0
2.0,18.0,64800.0,1.5803293655283325e-120,30.0
2.0,19.0,68400.0,9.145079173231555e-132,30.0
2.0,20.0,72000.0,4.48025045684939e-143,30.0
2.0,21.0,75600.0,1.9040103773380745e-154,30.0
2.0,22.0,79200.0,7.160052950398471e-166,30.0
2.0,23.0,82800.0,2.4218574485573343e-177,30.0
2.0,24.0,86400.0,7.469124014475255e-189,30.0
