Time_h,Time_s,Concentration_mg_L
0.0,0,0.0
1.0,3600,1.03429759913681e-139
2.0,7200,5.183151190835629e-74
3.0,10800,1.45812625808897e-43
4.0,14400,1.8109168911839757e-26
5.0,18000,4.645459965556197e-16
6.0,21600,1.745271346320204e-09
7.0,25200,2.637033710011647e-05
8.0,28800,0.01010097410951517
9.0,32400,0.29249153957553703
10.0,36000,1.2786770433852828
11.0,39600,1.3441754673386437
12.0,43200,0.47139168009280485
13.0,46800,0.06990135447349713
14.0,50400,0.005222664252898564
15.0,54000,0.00022433162430407526
16.0,57600,6.127439178472399e-06
17.0,61200,1.1508789198042704e-07
18.0,64800,1.5806875586912747e-09
19.0,68400,1.6671605881745858e-11
20.0,72000,1.4045080176582437e-13
21.0,75600,9.758678871023644e-16
22.0,79200,5.741056888799872e-18
23.0,82800,2.922660695713995e-20
24.0,86400,1.3111146496085964e-22
